celkove_umrti,datum,vek_txt
38,2020-09-06,15-39
307,2020-09-06,40-64
516,2020-09-06,65-74
589,2020-09-06,75-84
580,2020-09-06,85 a více
8,2020-09-13,0-14
31,2020-09-13,15-39
293,2020-09-13,40-64
505,2020-09-13,65-74
638,2020-09-13,75-84
614,2020-09-13,85 a více
8,2020-09-20,0-14
37,2020-09-20,15-39
314,2020-09-20,40-64
504,2020-09-20,65-74
700,2020-09-20,75-84
657,2020-09-20,85 a více
10,2020-09-27,0-14
37,2020-09-27,15-39
339,2020-09-27,40-64
546,2020-09-27,65-74
730,2020-09-27,75-84
730,2020-09-27,85 a více
6,2020-10-04,0-14
41,2020-10-04,15-39
323,2020-10-04,40-64
557,2020-10-04,65-74
740,2020-10-04,75-84
714,2020-10-04,85 a více
11,2020-10-11,0-14
31,2020-10-11,15-39
363,2020-10-11,40-64
642,2020-10-11,65-74
795,2020-10-11,75-84
767,2020-10-11,85 a více
5,2020-10-18,0-14
32,2020-10-18,15-39
369,2020-10-18,40-64
707,2020-10-18,65-74
914,2020-10-18,75-84
919,2020-10-18,85 a více
7,2020-10-25,0-14
37,2020-10-25,15-39
413,2020-10-25,40-64
783,2020-10-25,65-74
1190,2020-10-25,75-84
1217,2020-10-25,85 a více
8,2020-11-01,0-14
33,2020-11-01,15-39
459,2020-11-01,40-64
925,2020-11-01,65-74
1453,2020-11-01,75-84
1348,2020-11-01,85 a více
2,2020-11-08,0-14
46,2020-11-08,15-39
443,2020-11-08,40-64
872,2020-11-08,65-74
1445,2020-11-08,75-84
1430,2020-11-08,85 a více
1,2020-11-15,0-14
45,2020-11-15,15-39
414,2020-11-15,40-64
862,2020-11-15,65-74
1263,2020-11-15,75-84
1267,2020-11-15,85 a více
3,2020-11-22,0-14
31,2020-11-22,15-39
443,2020-11-22,40-64
764,2020-11-22,65-74
1116,2020-11-22,75-84
1067,2020-11-22,85 a více
4,2020-11-29,0-14
32,2020-11-29,15-39
400,2020-11-29,40-64
710,2020-11-29,65-74
986,2020-11-29,75-84
1037,2020-11-29,85 a více
5,2020-12-06,0-14
33,2020-12-06,15-39
401,2020-12-06,40-64
759,2020-12-06,65-74
955,2020-12-06,75-84
947,2020-12-06,85 a více
10,2020-12-13,0-14
38,2020-12-13,15-39
345,2020-12-13,40-64
661,2020-12-13,65-74
1045,2020-12-13,75-84
1005,2020-12-13,85 a více
12,2020-12-20,0-14
43,2020-12-20,15-39
402,2020-12-20,40-64
702,2020-12-20,65-74
1038,2020-12-20,75-84
1045,2020-12-20,85 a více
9,2020-12-27,0-14
42,2020-12-27,15-39
400,2020-12-27,40-64
715,2020-12-27,65-74
1063,2020-12-27,75-84
985,2020-12-27,85 a více
11,2021-01-03,0-14
46,2021-01-03,15-39
438,2021-01-03,40-64
764,2021-01-03,65-74
1212,2021-01-03,75-84
1070,2021-01-03,85 a více
6,2021-01-10,0-14
52,2021-01-10,15-39
466,2021-01-10,40-64
874,2021-01-10,65-74
1290,2021-01-10,75-84
1133,2021-01-10,85 a více
4,2021-01-17,0-14
49,2021-01-17,15-39
464,2021-01-17,40-64
906,2021-01-17,65-74
1171,2021-01-17,75-84
1142,2021-01-17,85 a více
6,2021-01-24,0-14
39,2021-01-24,15-39
466,2021-01-24,40-64
869,2021-01-24,65-74
1138,2021-01-24,75-84
1064,2021-01-24,85 a více
8,2021-01-31,0-14
45,2021-01-31,15-39
448,2021-01-31,40-64
834,2021-01-31,65-74
1060,2021-01-31,75-84
1040,2021-01-31,85 a více
13,2021-02-07,0-14
30,2021-02-07,15-39
441,2021-02-07,40-64
812,2021-02-07,65-74
1028,2021-02-07,75-84
935,2021-02-07,85 a více
10,2021-02-14,0-14
45,2021-02-14,15-39
472,2021-02-14,40-64
875,2021-02-14,65-74
1049,2021-02-14,75-84
977,2021-02-14,85 a více
12,2021-02-21,0-14
40,2021-02-21,15-39
502,2021-02-21,40-64
928,2021-02-21,65-74
1064,2021-02-21,75-84
924,2021-02-21,85 a více
6,2021-02-28,0-14
48,2021-02-28,15-39
515,2021-02-28,40-64
918,2021-02-28,65-74
1155,2021-02-28,75-84
970,2021-02-28,85 a více
8,2021-03-07,0-14
39,2021-03-07,15-39
554,2021-03-07,40-64
1023,2021-03-07,65-74
1313,2021-03-07,75-84
970,2021-03-07,85 a více
5,2021-03-14,0-14
45,2021-03-14,15-39
602,2021-03-14,40-64
1064,2021-03-14,65-74
1297,2021-03-14,75-84
1001,2021-03-14,85 a více
4,2021-03-21,0-14
35,2021-03-21,15-39
590,2021-03-21,40-64
1047,2021-03-21,65-74
1213,2021-03-21,75-84
932,2021-03-21,85 a více
4,2021-03-28,0-14
40,2021-03-28,15-39
546,2021-03-28,40-64
962,2021-03-28,65-74
1126,2021-03-28,75-84
773,2021-03-28,85 a více
2,2021-04-04,0-14
44,2021-04-04,15-39
524,2021-04-04,40-64
941,2021-04-04,65-74
1060,2021-04-04,75-84
810,2021-04-04,85 a více
9,2021-04-11,0-14
33,2021-04-11,15-39
480,2021-04-11,40-64
823,2021-04-11,65-74
898,2021-04-11,75-84
695,2021-04-11,85 a více
7,2021-04-18,0-14
29,2021-04-18,15-39
437,2021-04-18,40-64
713,2021-04-18,65-74
793,2021-04-18,75-84
648,2021-04-18,85 a více
8,2021-04-25,0-14
38,2021-04-25,15-39
415,2021-04-25,40-64
622,2021-04-25,65-74
785,2021-04-25,75-84
634,2021-04-25,85 a více
10,2021-05-02,0-14
35,2021-05-02,15-39
407,2021-05-02,40-64
637,2021-05-02,65-74
757,2021-05-02,75-84
625,2021-05-02,85 a více
10,2021-05-09,0-14
32,2021-05-09,15-39
369,2021-05-09,40-64
617,2021-05-09,65-74
656,2021-05-09,75-84
605,2021-05-09,85 a více
9,2021-05-16,0-14
39,2021-05-16,15-39
344,2021-05-16,40-64
590,2021-05-16,65-74
660,2021-05-16,75-84
601,2021-05-16,85 a více
3,2021-05-23,0-14
26,2021-05-23,15-39
329,2021-05-23,40-64
494,2021-05-23,65-74
606,2021-05-23,75-84
582,2021-05-23,85 a více
7,2021-05-30,0-14
23,2021-05-30,15-39
289,2021-05-30,40-64
468,2021-05-30,65-74
590,2021-05-30,75-84
571,2021-05-30,85 a více
7,2021-06-06,0-14
29,2021-06-06,15-39
298,2021-06-06,40-64
546,2021-06-06,65-74
593,2021-06-06,75-84
565,2021-06-06,85 a více
7,2021-06-13,0-14
40,2021-06-13,15-39
283,2021-06-13,40-64
487,2021-06-13,65-74
589,2021-06-13,75-84
544,2021-06-13,85 a více
3,2021-06-20,0-14
27,2021-06-20,15-39
341,2021-06-20,40-64
466,2021-06-20,65-74
623,2021-06-20,75-84
583,2021-06-20,85 a více
9,2021-06-27,0-14
30,2021-06-27,15-39
283,2021-06-27,40-64
456,2021-06-27,65-74
570,2021-06-27,75-84
641,2021-06-27,85 a více
9,2021-07-04,0-14
39,2021-07-04,15-39
296,2021-07-04,40-64
446,2021-07-04,65-74
545,2021-07-04,75-84
541,2021-07-04,85 a více
9,2021-07-11,0-14
34,2021-07-11,15-39
304,2021-07-11,40-64
455,2021-07-11,65-74
542,2021-07-11,75-84
579,2021-07-11,85 a více
8,2021-07-18,0-14
35,2021-07-18,15-39
305,2021-07-18,40-64
458,2021-07-18,65-74
589,2021-07-18,75-84
619,2021-07-18,85 a více
9,2021-07-25,0-14
38,2021-07-25,15-39
292,2021-07-25,40-64
477,2021-07-25,65-74
586,2021-07-25,75-84
545,2021-07-25,85 a více
6,2021-08-01,0-14
30,2021-08-01,15-39
310,2021-08-01,40-64
473,2021-08-01,65-74
678,2021-08-01,75-84
594,2021-08-01,85 a více
6,2021-08-08,0-14
26,2021-08-08,15-39
281,2021-08-08,40-64
448,2021-08-08,65-74
586,2021-08-08,75-84
543,2021-08-08,85 a více
10,2021-08-15,0-14
43,2021-08-15,15-39
282,2021-08-15,40-64
503,2021-08-15,65-74
633,2021-08-15,75-84
537,2021-08-15,85 a více
13,2021-08-22,0-14
42,2021-08-22,15-39
295,2021-08-22,40-64
496,2021-08-22,65-74
555,2021-08-22,75-84
567,2021-08-22,85 a více
7,2021-08-29,0-14
36,2021-08-29,15-39
286,2021-08-29,40-64
462,2021-08-29,65-74
574,2021-08-29,75-84
566,2021-08-29,85 a více
7,2021-09-05,0-14
33,2021-09-05,15-39
309,2021-09-05,40-64
460,2021-09-05,65-74
570,2021-09-05,75-84
602,2021-09-05,85 a více
5,2021-09-12,0-14
36,2021-09-12,15-39
274,2021-09-12,40-64
498,2021-09-12,65-74
639,2021-09-12,75-84
587,2021-09-12,85 a více
6,2021-09-19,0-14
36,2021-09-19,15-39
302,2021-09-19,40-64
510,2021-09-19,65-74
627,2021-09-19,75-84
615,2021-09-19,85 a více
9,2021-09-26,0-14
33,2021-09-26,15-39
284,2021-09-26,40-64
471,2021-09-26,65-74
644,2021-09-26,75-84
595,2021-09-26,85 a více
