datum,vek_txt,covid_umrti
2020-11-29,0-14,0
2020-11-29,15-39,1
2020-11-29,40-64,62
2020-11-29,65-74,190
2020-11-29,75-84,312
2020-11-29,85+,300
2020-12-06,0-14,0
2020-12-06,15-39,1
2020-12-06,40-64,59
2020-12-06,65-74,199
2020-12-06,75-84,272
2020-12-06,85+,224
2020-12-13,0-14,0
2020-12-13,15-39,0
2020-12-13,40-64,62
2020-12-13,65-74,149
2020-12-13,75-84,277
2020-12-13,85+,208
2020-12-20,0-14,0
2020-12-20,15-39,5
2020-12-20,40-64,69
2020-12-20,65-74,158
2020-12-20,75-84,289
2020-12-20,85+,246
2020-12-27,0-14,0
2020-12-27,15-39,4
2020-12-27,40-64,71
2020-12-27,65-74,180
2020-12-27,75-84,274
2020-12-27,85+,240
2021-01-03,0-14,0
2021-01-03,15-39,5
2021-01-03,40-64,74
2021-01-03,65-74,212
2021-01-03,75-84,417
2021-01-03,85+,278
2021-01-10,0-14,0
2021-01-10,15-39,3
2021-01-10,40-64,93
2021-01-10,65-74,295
2021-01-10,75-84,469
2021-01-10,85+,363
2021-01-17,0-14,0
2021-01-17,15-39,5
2021-01-17,40-64,86
2021-01-17,65-74,281
2021-01-17,75-84,428
2021-01-17,85+,363
2021-01-24,0-14,0
2021-01-24,15-39,3
2021-01-24,40-64,80
2021-01-24,65-74,259
2021-01-24,75-84,403
2021-01-24,85+,293
2021-01-31,0-14,0
2021-01-31,15-39,5
2021-01-31,40-64,83
2021-01-31,65-74,241
2021-01-31,75-84,353
2021-01-31,85+,292
2021-02-07,0-14,0
2021-02-07,15-39,0
2021-02-07,40-64,83
2021-02-07,65-74,234
2021-02-07,75-84,342
2021-02-07,85+,258
2021-02-14,0-14,0
2021-02-14,15-39,7
2021-02-14,40-64,97
2021-02-14,65-74,252
2021-02-14,75-84,318
2021-02-14,85+,269
2021-02-21,0-14,0
2021-02-21,15-39,5
2021-02-21,40-64,117
2021-02-21,65-74,314
2021-02-21,75-84,392
2021-02-21,85+,261
2021-02-28,0-14,1
2021-02-28,15-39,5
2021-02-28,40-64,132
2021-02-28,65-74,323
2021-02-28,75-84,480
2021-02-28,85+,264
2021-03-07,0-14,1
2021-03-07,15-39,6
2021-03-07,40-64,161
2021-03-07,65-74,428
2021-03-07,75-84,538
2021-03-07,85+,280
2021-03-14,0-14,0
2021-03-14,15-39,9
2021-03-14,40-64,182
2021-03-14,65-74,468
2021-03-14,75-84,582
2021-03-14,85+,302
2021-03-21,0-14,0
2021-03-21,15-39,4
2021-03-21,40-64,192
2021-03-21,65-74,442
2021-03-21,75-84,535
2021-03-21,85+,248
2021-03-28,0-14,0
2021-03-28,15-39,8
2021-03-28,40-64,179
2021-03-28,65-74,351
2021-03-28,75-84,459
2021-03-28,85+,204
2021-04-04,0-14,0
2021-04-04,15-39,3
2021-04-04,40-64,134
2021-04-04,65-74,340
2021-04-04,75-84,371
2021-04-04,85+,183
2021-04-11,0-14,0
2021-04-11,15-39,3
2021-04-11,40-64,105
2021-04-11,65-74,247
2021-04-11,75-84,301
2021-04-11,85+,134
2021-04-18,0-14,1
2021-04-18,15-39,0
2021-04-18,40-64,101
2021-04-18,65-74,184
2021-04-18,75-84,195
2021-04-18,85+,87
2021-04-25,0-14,0
